142,  -19.8541775,   -2.4107337,          35.
143,  -19.8541775,    2.4107337,          35.
144,   -18.700325,   7.09209776,          35.
145,  -16.4596767,   11.3612947,          35.
146,  -13.2624531,   14.9702148,          35.
147,  -9.29446316,   17.7091198,          35.
148,  -4.78631306,   19.4188366,          35.
149,  -4.78631306,   19.4188366,          40.
150,  -9.29446316,   17.7091198,          40.
151,  -13.2624531,   14.9702148,          40.
152,  -16.4596767,   11.3612947,          40.
153,   -18.700325,   7.09209776,          40.
154,  -19.8541775,    2.4107337,          40.
155,  -19.8541775,   -2.4107337,          40.
156,   -18.700325,  -7.09209776,          40.
157,  -16.4596767,  -11.3612947,          40.
158,  -13.2624531,  -14.9702148,          40.
159,  -9.29446316,  -17.7091198,          40.
160,  -4.78631306,  -19.4188366,          40.
161,   4.90199947,  -35.6646957,          40.
162,   9.71268368,  -34.6650238,          40.
163,   14.3424397,  -33.0196075,          40.
164,   18.7050228,  -30.7590981,          40.
165,   22.7191658,  -27.9256058,          40.
166,   26.3100948,  -24.5719128,          40.
167,   29.4109154,  -20.7604923,          40.
168,   31.9638672,  -16.5623417,          40.
169,   33.9213943,   -12.055666,          40.
170,   35.2470284,  -7.32441664,          40.
171,   35.9160767,  -2.45672679,          40.
172,   35.9160767,   2.45672679,          40.
173,   35.2470284,   7.32441664,          40.
174,   33.9213943,    12.055666,          40.
175,   31.9638672,   16.5623417,          40.
176,   29.4109154,   20.7604923,          40.
177,   26.3100948,   24.5719128,          40.
178,   22.7191658,   27.9256058,          40.
179,   18.7050228,   30.7590981,          40.
180,   14.3424397,   33.0196075,          40.
181,   9.71268368,   34.6650238,          40.
182,   4.90199947,   35.6646957,          40.
183,  -4.90199947,   35.6646957,          40.
184,  -9.71268368,   34.6650238,          40.
185,  -14.3424397,   33.0196075,          40.
186,  -18.7050228,   30.7590981,          40.
187,  -22.7191658,   27.9256058,          40.
188,  -26.3100948,   24.5719128,          40.
189,  -29.4109154,   20.7604923,          40.
190,  -31.9638672,   16.5623417,          40.
191,  -33.9213943,    12.055666,          40.
192,  -35.2470284,   7.32441664,          40.
193,  -35.9160767,   2.45672679,          40.
194,  -35.9160767,  -2.45672679,          40.
195,  -35.2470284,  -7.32441664,          40.
196,  -33.9213943,   -12.055666,          40.
197,  -31.9638672,  -16.5623417,          40.
198,  -29.4109154,  -20.7604923,          40.
199,  -26.3100948,  -24.5719128,          40.
200,  -22.7191658,  -27.9256058,          40.
201,  -18.7050228,  -30.7590981,          40.
202,  -14.3424397,  -33.0196075,          40.
203,  -9.71268368,  -34.6650238,          40.
204,  -4.90199947,  -35.6646957,          40.
205,   25.4558449,  -25.4558449,           5.
206,   25.1725254,  -19.5156708,   5.66005325
207,   22.4657822,  -16.8089275,   7.45845461
208,   20.2215996,  -14.5647449,    10.253891
209,   18.6183872,  -12.9615335,   13.8241282
210,   17.7835999,  -12.1267452,   17.8853378
211,   17.7835999,  -12.1267452,   22.1146622
212,   18.6183872,  -12.9615335,   26.1758709
213,   20.2215996,  -14.5647449,    29.746109
214,   22.4657822,  -16.8089275,   32.5415459
215,   25.1725254,  -19.5156708,   34.3399467
216,   25.4558449,  -25.4558449,          35.
217,   19.5156708,  -25.1725254,   34.3399467
218,   16.8089275,  -22.4657822,   32.5415459
219,   14.5647449,  -20.2215996,    29.746109
220,   12.9615335,  -18.6183872,   26.1758709
221,   12.1267452,  -17.7835999,   22.1146622
222,   12.1267452,  -17.7835999,   17.8853378
223,   12.9615335,  -18.6183872,   13.8241282
224,   14.5647449,  -20.2215996,    10.253891
225,   16.8089275,  -22.4657822,   7.45845461
226,   19.5156708,  -25.1725254,   5.66005325
227,          36.,           0.,           5.
228,   31.5993271,           4.,   5.66005325
229,   27.7714138,           4.,   7.45845461
230,   24.5976601,           4.,    10.253891
231,   22.3303757,           4.,   13.8241282
232,    21.149807,           4.,   17.8853378
233,    21.149807,           4.,   22.1146622
234,   22.3303757,           4.,   26.1758709
235,   24.5976601,           4.,    29.746109
236,   27.7714138,           4.,   32.5415459
237,   31.5993271,           4.,   34.3399467
238,          36.,           0.,          35.
239,   31.5993271,          -4.,   34.3399467
240,   27.7714138,          -4.,   32.5415459
241,   24.5976601,          -4.,    29.746109
