1, 1145, 1146,   94,  961
2, 1145,  990,  521,  520
3, 1145,  987,  520,  957
4, 1147, 1148,  987, 1068
5, 1147, 1149, 1133, 1114
6, 1147, 1148, 1068,  514
7, 1147, 1149, 1114, 1067
8, 1150,  860, 1151,  370
9, 1150,  920,  200,  684
10,  336,  684,  920, 1150
11, 1152,  240,  813,  814
12, 1152, 1153,  732, 1154
13,  813,  406,  407, 1152
14, 1155,  690,  756, 1152
15,  763, 1155,  690,  756
16, 1152,  756, 1154,  732
17, 1152,  406,  407, 1156
18, 1152, 1156, 1154,  756
19,  564,  861,  365,  366
20, 1157, 1158,  382,  740
21, 1157, 1158,  770, 1159
22,  264,  263, 1160,  483
23, 1157,  770, 1158,  740
24,  776, 1157, 1159, 1161
25, 1157,  713, 1161,  776
26, 1162, 1163, 1077, 1164
27,  615,  922, 1164, 1162
28, 1165,  996,  921, 1162
29,  134,  401,  697, 1166
30, 1167, 1015, 1057, 1094
31, 1077, 1168,  996, 1162
32, 1169,  238, 1152,  814
33, 1162, 1163, 1039, 1077
34, 1162, 1170, 1039, 1163
35,  247,  499,  806,  500
36, 1171, 1021, 1019, 1172
37, 1019, 1173, 1071, 1174
38,  471, 1049, 1175, 1027
39, 1071, 1021, 1019, 1171
40, 1174, 1176,  499, 1173
41, 1174, 1176, 1171,  499
42, 1177,  760, 1178,  890
43, 1177, 1179, 1178,  743
44, 1177, 1151,  681,  777
45, 1177,  743, 1178,  760
46, 1180,  338,  372,  339
47,  165, 1181,  166,  829
48,  387,  388, 1182,   57
49, 1181,  166, 1183,  720
50, 1184,  734,  824,  696
51,  216, 1181,  166, 1183
52, 1185,  708, 1186,  791
53, 1186,  887,  901,  387
54,  887, 1182, 1186,  793
55,  912,  887,  901,  793
56,  388, 1182,   57,  707
57, 1182, 1187,  887,   57
58, 1182, 1187,  707,  709
59,  780,  887,  793,  709
60, 1188, 1189,   45,  861
61, 1147, 1190, 1133, 1149
62, 1190, 1149, 1139, 1133
